LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID28346,28346,18,0.024689538404345512,147.9106623203878,852.1849507047195,0.0,17994.075997000004,10,10.0,1,,13.637798165137614,14.0,10.0,17.0,37163.0,1.3218355375472337,0.2572385333159132,4.221970282847547
ID28639,28639,18,0.025845304131507874,142.17785501843383,848.7690052734254,0.0,16194.668397300002,9,10.0,1,,14.215045871559633,14.0,10.0,18.0,38736.0,1.400123646635735,0.2558071178187185,4.1362002349915015
ID31551,31551,18,0.019054271280765533,196.4444563548353,862.3329374698709,0.0,35988.15199400001,20,10.0,1,,11.557064220183486,12.0,8.0,15.0,31493.0,1.1010568467590294,0.22450459076061405,3.848864205967137
ID32384,32384,19,0.020194856449961662,238.4613712602417,879.9781805280336,0.0,39586.96719340001,22,10.0,1,,12.4851376146789,13.0,8.0,16.0,34022.0,1.3258759985411899,0.21332656685482504,3.3112171101845624
ID31553,31553,19,0.02305438555777073,240.2299653599566,874.3712123941949,0.0,35988.15199400001,20,10.0,1,,13.564036697247706,14.0,9.0,17.0,36962.0,1.4304835750769038,0.22782869097838235,3.518898285284353
ID27465,27465,19,0.02476847916841507,155.91945531826028,882.2569348639059,0.0,8997.037998500002,5,10.0,1,,13.820550458715596,14.0,10.0,18.0,37661.0,1.3397307757566423,0.2527821063816212,4.163020882217696
ID30411,30411,19,0.027772031724452972,241.75622582403142,870.0247428323032,0.0,28790.521595200004,16,10.0,1,,15.501284403669725,16.0,10.0,22.0,42241.0,1.6079882160655485,0.2444609771792872,3.7874166043468236
ID32651,32651,19,0.021701473742723465,235.45019753288344,877.8561367428554,0.0,43185.78239280001,24,10.0,1,,13.603302752293578,14.0,10.0,18.0,37069.0,1.4059045660223737,0.21164141261594724,3.3802207308648535
ID28940,28940,19,0.024764716625213623,202.62270930126422,860.9849911024392,0.0,19793.483596700004,11,10.0,1,,14.02348623853211,14.0,10.0,18.0,38214.0,1.328897293958603,0.24901759894563197,4.207809354918415
ID26574,26574,19,0.02279757149517536,135.60508614429844,886.2483937597508,0.0,5398.222799100001,3,10.0,1,,13.345321100917431,13.0,9.0,17.0,36366.0,1.3293883697419957,0.2360372846423637,3.8340360057307183
