TREATMENT,TR,LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Control,CTR7,Track_574,68,68,15,0,0,0,0,0,25206.93764,0,25206.93764,54.49566801,358.3906167,528.9426763,0,0.003345726,0.015434501,8.95E-04,0.002014516,0.003777953,1.432489316,84.33550067,54.49566801,0.646177085,0.002161931,0.646177085,4.46E-04
Control,CTR7,Track_575,69,69,15,0,0,0,0,0,25206.93764,0,25206.93764,31.20100053,327.9127502,512.8259647,0,0.003069751,0.013439403,5.43E-04,0.001588429,0.003753355,1.253922137,77.3790225,49.60851013,0.403222986,0.001237794,0.403222986,3.98E-04
Control,CTR7,Track_576,70,70,15,0,0,0,0,0,25206.93764,0,25206.93764,11.04580089,351.9582279,86.16038556,0,0.001511014,0.003142402,2.73E-04,0.001570717,7.17E-04,1.461479449,38.08803661,12.58256015,0.290007096,4.38E-04,0.290007096,9.23E-04
Control,CTR7,Track_577,71,71,15,0,0,0,0,0,25206.93764,0,25206.93764,7.679997804,590.9440764,527.4513781,0,0.00124293,0.002646637,4.47E-04,0.001246581,6.22E-04,1.430116296,31.33046701,14.09211772,0.245128737,3.05E-04,0.245128737,5.62E-04
Control,CTR7,Track_578,72,72,15,0,0,0,0,0,25206.93764,0,25206.93764,10.221293,289.5821668,532.8764315,0,0.001164917,0.002177033,2.85E-04,0.001119855,4.42E-04,1.537400436,29.36398646,12.8076309,0.348089419,4.05E-04,0.348089419,8.86E-04
Control,CTR7,Track_580,74,74,15,0,0,0,0,0,25206.93764,0,25206.93764,11.53165892,559.2896894,559.1161009,0,0.001446615,0.002571205,6.60E-04,0.001469936,5.44E-04,1.268916599,36.46474243,13.09620559,0.316241338,4.57E-04,0.316241338,5.20E-04
Control,CTR7,Track_581,75,75,15,0,0,0,0,0,25206.93764,0,25206.93764,12.1312351,514.1795267,117.7840363,0,0.001382952,0.004086433,3.09E-04,8.69E-04,0.001192757,1.418217524,34.85997925,14.22003642,0.347998919,4.81E-04,0.347998919,6.28E-04
Control,CTR7,Track_582,76,76,13,0,0,0,0,0,21605.94655,3600.991092,25206.93764,5.499488069,283.5151058,561.3970346,0,0.001195357,0.004535114,3.55E-04,0.001054849,0.001163538,1.406991876,25.82681715,9.266141996,0.21293712,2.55E-04,0.21293712,7.99E-04
Control,CTR7,Track_583,77,77,15,0,0,0,0,0,25206.93764,0,25206.93764,40.13337487,315.688779,550.8409576,0,0.002306484,0.005669834,1.87E-04,0.00214908,0.00151167,1.463432892,58.13939407,44.26318888,0.69029572,0.001592156,0.69029572,3.77E-04
Control,CTR7,Track_584,78,78,15,0,0,0,0,0,25206.93764,0,25206.93764,8.070186495,291.5165459,587.6019444,0,0.001063032,0.001779596,4.60E-04,0.001191728,4.41E-04,1.538188934,26.79578495,11.47843941,0.30117373,3.20E-04,0.30117373,7.95E-04
Control,CTR7,Track_586,80,80,12,0,0,0,0,0,19805.451,5401.486637,25206.93764,17.25076031,599.2569224,603.6677863,0,0.00199043,0.003847505,5.37E-04,0.001606052,0.001189163,1.325224568,39.42136456,19.55358031,0.437599269,8.71E-04,0.437599269,9.95E-04
Control,CTR7,Track_590,84,84,11,0,0,0,0,0,18004.95546,7201.982183,25206.93764,38.7420399,512.3505043,593.9776855,0,0.003458526,0.006634328,8.56E-04,0.003752609,0.002163644,1.311199286,62.27059874,43.56175905,0.622156213,0.002151743,0.622156213,5.34E-04
Control,CTR7,Track_592,86,86,11,0,0,0,0,0,18004.95546,7201.982183,25206.93764,24.26736513,503.1367959,94.57836752,0,0.001920705,0.00552618,1.26E-04,9.91E-04,0.002147006,1.380088546,34.58221132,26.77154578,0.70172971,0.001347816,0.70172971,7.71E-04
Control,CTR7,Track_593,87,87,11,0,0,0,0,0,18004.95546,7201.982183,25206.93764,14.61079088,336.2318987,177.9933565,0,0.001264196,0.002789479,5.82E-04,0.001065599,7.42E-04,1.31844177,22.76179971,14.80948356,0.641899633,8.11E-04,0.641899633,8.26E-04
GSK,GTR13,Track_1366,0,0,14,0,0,0,0,0,23406.4421,0,23406.4421,53.52391118,364.4798414,678.1978733,0,0.002445532,0.009301029,6.97E-05,8.09E-04,0.002896291,1.150491391,57.24121063,53.8352987,0.935059035,0.002286717,0.935059035,4.49E-04
GSK,GTR13,Track_1367,1,1,14,0,0,0,0,0,23406.4421,0,23406.4421,36.44109131,371.9871391,694.5267847,0,0.002454119,0.008189142,8.09E-05,8.34E-04,0.002876373,1.27487077,57.44220301,38.81238669,0.634395782,0.001556883,0.634395782,8.01E-04
GSK,GTR13,Track_1368,2,2,14,0,0,0,0,0,23406.4421,0,23406.4421,6.049211383,264.432769,30.62393052,0,0.001161498,0.003144974,8.78E-05,0.001014397,9.37E-04,1.135596582,27.18654114,8.540138903,0.222507577,2.58E-04,0.222507577,6.01E-04
